COG	Cat
COG5861	D
COG5862	D
COG5863	D
COG5864	D
COG5868	D
COG5869	D
COG5871	D
COG5872	D
COG5873	D
COG5874	D
COG5875	D
COG5878	D
COG5879	D
COG5880	D
COG5881	D
COG5882	D
COG5883	D
COG5884	D
COG5885	D
COG5886	D
COG5887	D
COG5888	D
COG5889	D
COG5890	D
COG5891	D
COG5892	D
COG5893	D
COG5894	D
COG5895	D
COG5896	D
COG5897	D
COG5898	D
COG5899	D
COG5900	D
COG5901	D
COG5902	D
COG5903	D
COG5904	D
COG5906	D
COG5907	D
COG5908	D
COG5909	D
COG5910	D
COG5911	D
COG5912	D
COG5914	D
COG5915	D
COG5916	D
COG5917	D
COG5918	D
COG5919	D
COG5920	D
COG5921	D
COG5922	D
COG5923	D
COG5924	D
COG5925	D
COG5926	D
COG3314	D E
COG5834	D E
COG5835	D E
COG5836	D E
COG5837	D E
COG5839	D E
COG5840	D E
COG5842	D E
COG5843	D E
COG0535	D H
COG2755	D I
COG0768	D M
COG3773	D M
COG2132	D M P
COG0455	D N
COG1192	D N
COG5832	D O
COG5866	D O
COG0239	D P
COG2340	D R
COG5801	D T
COG5802	D T
COG5803	D T
COG5804	D T
COG5805	D T
COG5806	D T
COG5807	D T
COG5808	D T
COG5809	D T
COG5810	D T
COG5815	D T
COG5848	D T
COG5849	D T
COG5867	D T
COG0464	D T M
COG1077	D Z
COG1792	D Z
COG5184	D Z
COG0002	E
COG0006	E
COG0010	E
COG0014	E
COG0019	E
COG0031	E
COG0040	E
COG0065	E
COG0066	E
COG0067	E
COG0069	E
COG0070	E
COG0076	E
COG0077	E
COG0078	E
COG0079	E
COG0082	E
COG0083	E
COG0106	E
COG0107	E
COG0112	E
COG0118	E
COG0119	E
COG0128	E
COG0131	E
COG0133	E
COG0134	E
COG0135	E
COG0136	E
COG0137	E
COG0139	E
COG0140	E
COG0141	E
COG0159	E
COG0160	E
COG0165	E
COG0169	E
COG0174	E
COG0182	E
COG0241	E
COG0253	E
COG0260	E
COG0263	E
COG0287	E
COG0289	E
COG0308	E
COG0334	E
COG0337	E
COG0345	E
COG0367	E
COG0403	E
COG0404	E
COG0405	E
COG0410	E
COG0411	E
COG0421	E
COG0436	E
COG0440	E
COG0460	E
COG0498	E
COG0506	E
COG0509	E
COG0520	E
COG0527	E
COG0531	E
COG0547	E
COG0548	E
COG0549	E
COG0559	E
COG0560	E
COG0591	E
COG0620	E
COG0624	E
COG0626	E
COG0646	E
COG0665	E
COG0683	E
COG0685	E
COG0686	E
COG0687	E
COG0703	E
COG0709	E
COG0710	E
COG0722	E
COG0747	E
COG0754	E
COG0757	E
COG0765	E
COG0786	E
COG0804	E
COG0814	E
COG0831	E
COG0832	E
COG0833	E
COG1003	E
COG1027	E
COG1045	E
COG1104	E
COG1113	E
COG1114	E
COG1115	E
COG1125	E
COG1126	E
COG1135	E
COG1164	E
COG1166	E
COG1171	E
COG1174	E
COG1176	E
COG1177	E
COG1231	E
COG1246	E
COG1247	E
COG1279	E
COG1280	E
COG1296	E
COG1350	E
COG1362	E
COG1364	E
COG1410	E
COG1446	E
COG1448	E
COG1465	E
COG1505	E
COG1506	E
COG1509	E
COG1540	E
COG1586	E
COG1605	E
COG1685	E
COG1687	E
COG1712	E
COG1748	E
COG1760	E
COG1770	E
COG1791	E
COG1823	E
COG1834	E
COG1878	E
COG1897	E
COG1900	E
COG1945	E
COG1982	E
COG1984	E
COG2008	E
COG2011	E
COG2021	E
COG2040	E
COG2049	E
COG2056	E
COG2066	E
COG2071	E
COG2095	E
COG2105	E
COG2113	E
COG2171	E
COG2195	E
COG2232	E
COG2235	E
COG2309	E
COG2362	E
COG2423	E
COG2431	E
COG2502	E
COG2515	E
COG2716	E
COG2873	E
COG2876	E
COG2902	E
COG2939	E
COG2957	E
COG2986	E
COG2987	E
COG2988	E
