COG	Cat
COG3355	K
COG3357	K
COG3373	K
COG3388	K
COG3398	K
COG3423	K
COG3432	K
COG3609	K
COG3620	K
COG3629	K
COG3655	K
COG3682	K
COG3695	K
COG3708	K
COG3710	K
COG3711	K
COG3722	K
COG3820	K
COG3831	K
COG3877	K
COG3888	K
COG3901	K
COG3905	K
COG3933	K
COG4008	K
COG4109	K
COG4189	K
COG4190	K
COG4197	K
COG4344	K
COG4463	K
COG4465	K
COG4533	K
COG4568	K
COG4578	K
COG4738	K
COG4742	K
COG4776	K
COG4800	K
COG4860	K
COG4871	K
COG4886	K
COG4888	K
COG4903	K
COG4933	K
COG4941	K
COG4957	K
COG4977	K
COG5108	K
COG5164	K
COG5190	K
COG5304	K
COG5419	K
COG5450	K
COG5625	K
COG5631	K
COG5662	K
COG5665	K
COG2088	K D
COG5811	K D
COG5812	K D
COG5813	K D
COG5814	K D
COG5830	K D
COG5845	K D
COG5850	K D
COG5865	K D
COG5870	K D
COG5905	K D
COG5818	K D O
COG1167	K E
COG3060	K E
COG3283	K E
COG1349	K G
COG1940	K G
COG1827	K H
COG0553	K L
COG1061	K L
COG1197	K L
COG2747	K N
COG0750	K O
COG0454	K R
COG0271	K T
COG0317	K T
COG0745	K T
COG1221	K T
COG1842	K T
COG1974	K T
COG1983	K T
COG2197	K T
COG2208	K T
COG3279	K T
COG3604	K T
COG3706	K T
COG3707	K T
COG3829	K T
COG3835	K T
COG3947	K T
COG4512	K T
COG4565	K T
COG4566	K T
COG4567	K T
COG4650	K T
COG4753	K T
COG4862	K T N
COG2002	K V
COG5503	K V
COG3311	K X
COG5566	K X
COG0122	L
COG0164	L
COG0177	L
COG0178	L
COG0187	L
COG0188	L
COG0210	L
COG0249	L
COG0258	L
COG0266	L
COG0270	L
COG0272	L
COG0305	L
COG0322	L
COG0323	L
COG0328	L
COG0338	L
COG0350	L
COG0353	L
COG0358	L
COG0389	L
COG0415	L
COG0417	L
COG0419	L
COG0420	L
COG0433	L
COG0468	L
COG0470	L
COG0496	L
COG0497	L
COG0507	L
COG0513	L
COG0514	L
COG0550	L
COG0551	L
COG0556	L
COG0587	L
COG0592	L
COG0593	L
COG0608	L
COG0629	L
COG0632	L
COG0648	L
COG0692	L
COG0699	L
COG0708	L
COG0749	L
COG0758	L
COG0776	L
COG0792	L
COG0817	L
COG0827	L
COG0847	L
COG0863	L
COG1039	L
COG1058	L
COG1066	L
COG1074	L
COG1107	L
COG1110	L
COG1111	L
COG1112	L
COG1193	L
COG1194	L
COG1195	L
COG1198	L
COG1199	L
COG1200	L
COG1201	L
COG1202	L
COG1204	L
COG1205	L
COG1241	L
COG1273	L
COG1311	L
COG1322	L
COG1330	L
COG1354	L
COG1381	L
COG1389	L
COG1423	L
COG1466	L
COG1467	L
COG1474	L
COG1484	L
COG1515	L
COG1525	L
COG1533	L
COG1555	L
COG1570	L
COG1573	L
COG1591	L
COG1599	L
COG1602	L
COG1630	L
COG1637	L
COG1697	L
COG1711	L
COG1722	L
COG1743	L
COG1793	L
COG1796	L
COG1933	L
COG1948	L
COG1961	L
COG2003	L
COG2094	L
COG2135	L
COG2169	L
COG2176	L
COG2189	L
COG2219	L
COG2231	L
COG2255	L
COG2256	L
COG2354	L
COG2356	L
COG2406	L
COG2812	L
COG2818	L
COG2827	L
COG2840	L
COG2852	L
COG2887	L
COG2925	L
COG2927	L
COG2946	L
COG2965	L
COG2974	L
COG3022	L
COG3024	L
COG3050	L
COG3057	L
COG3066	L
COG3081	L
COG3120	L
COG3141	L
COG3145	L
COG3214	L
COG3285	L
COG3298	L
COG3390	L
COG3392	L
COG3449	L
COG3569	L
COG3593	L
COG3598	L
COG3611	L
COG3663	L
COG3723	L
COG3727	L
COG3743	L
COG3780	L
COG3857	L
COG3886	L
COG3893	L
COG3923	L
COG3935	L
COG3972	L
COG3973	L
COG4047	L
COG4098	L
COG4199	L
COG4227	L
COG4294	L
COG4335	L
COG4389	L
COG4467	L
COG4570	L
COG4581	L
COG4646	L
COG4712	L
COG4817	L
COG4912	L
COG4973	L
COG4974	L
COG4998	L
COG5055	L
COG5464	L
COG0536	L D
COG5851	L D
COG1860	L F
COG1059	L V
COG0582	L X
COG1372	L X
COG0381	M
COG0392	M
COG0399	M
COG0434	M
COG0438	M
COG0449	M
COG0451	M
COG0463	M
COG0472	M
COG0562	M
COG0586	M
COG0615	M
COG0668	M
COG0677	M
COG0682	M
COG0706	M
COG0707	M
COG0728	M
COG0729	M
COG0739	M
COG0741	M
COG0744	M
COG0759	M
COG0763	M
COG0766	M
COG0767	M
COG0769	M
COG0770	M
COG0771	M
COG0773	M
COG0774	M
COG0787	M
COG0791	M
COG0796	M
COG0797	M
COG0810	M
COG0812	M
COG0815	M
COG0836	M
COG0859	M
COG0860	M
COG1004	M
COG1043	M
COG1044	M
COG1083	M
COG1087	M
COG1088	M
COG1089	M
COG1091	M
COG1127	M
COG1136	M
COG1137	M
COG1207	M
COG1209	M
COG1210	M
COG1212	M
COG1292	M
COG1316	M
COG1346	M
COG1368	M
COG1376	M
COG1388	M
COG1422	M
COG1434	M
COG1442	M
COG1452	M
COG1462	M
COG1463	M
COG1519	M
COG1520	M
COG1538	M
COG1559	M
COG1596	M
COG1619	M
COG1663	M
COG1686	M
COG1696	M
COG1704	M
COG1732	M
COG1794	M
COG1807	M
COG1822	M
COG1835	M
COG1861	M
COG1876	M
COG1898	M
COG1922	M
COG1934	M
COG1970	M
COG2027	M
COG2052	M
COG2089	M
COG2103	M
COG2148	M
COG2173	M
COG2194	M
COG2222	M
COG2244	M
COG2247	M
COG2327	M
COG2348	M
COG2377	M
COG2385	M
COG2815	M
COG2821	M
COG2823	M
COG2829	M
COG2834	M
COG2843	M
COG2845	M
COG2853	M
COG2854	M
COG2859	M
COG2866	M
COG2870	M
COG2877	M
COG2885	M
COG2891	M
COG2908	M
COG2911	M
COG2913	M
COG2949	M
COG2951	M
COG2956	M
COG2980	M
COG2982	M
COG2989	M
COG2995	M
COG3008	M
COG3009	M
COG3017	M
COG3023	M
COG3034	M
COG3040	M
COG3047	M
COG3055	M
COG3064	M
COG3065	M
COG3107	M
COG3113	M
COG3117	M
COG3131	M
COG3133	M
COG3137	M
COG3164	M
COG3203	M
COG3206	M
COG3248	M
COG3254	M
COG3264	M
COG3274	M
COG3306	M
COG3307	M
COG3317	M
COG3409	M
COG3417	M
COG3511	M
COG3524	M
COG3562	M
COG3563	M
COG3637	M
COG3659	M
COG3713	M
COG3754	M
COG3757	M
COG3764	M
COG3765	M
COG3770	M
COG3771	M
COG3772	M
COG3774	M
COG3786	M
COG3875	M
COG3876	M
COG3895	M
COG3932	M
COG3942	M
COG3944	M
COG3955	M
COG3966	M
COG3980	M
COG4092	M
COG4105	M
COG4238	M
COG4282	M
COG4305	M
COG4313	M
COG4421	M
COG4424	M
COG4520	M
COG4571	M
COG4588	M
COG4591	M
COG4775	M
COG4785	M
COG4932	M
COG4952	M
COG4953	M
COG5009	M
COG5337	M
COG5479	M
COG5520	M
COG5577	M
COG5597	M
COG5622	M
COG5632	M
COG0329	M E
COG1286	M F
COG0726	M G
COG0794	M G
COG2943	M G
COG4409	M G
COG4692	M G
COG5039	M G
COG1887	M I
COG3470	M I
COG3967	M I
COG4750	M I
COG0795	M N
COG1705	M N
COG0170	M O
COG1086	M O
COG2825	M O
COG4783	M O
COG1181	M R
COG1778	M R
COG3049	M R
COG4948	M R
COG0597	M U
COG3468	M U
COG4678	M X
COG0084	N
COG1215	N
COG1256	N
COG1261	N
COG1291	N
COG1298	N
COG1315	N
COG1338	N
COG1344	N
COG1345	N
COG1360	N
COG1377	N
COG1406	N
COG1419	N
COG1536	N
COG1558	N
COG1580	N
COG1582	N
COG1677	N
COG1681	N
COG1684	N
COG1699	N
COG1706	N
COG1749	N
COG1815	N
COG1843	N
COG1868	N
COG1955	N
COG1987	N
COG2063	N
COG2874	N
COG2882	N
COG3018	N
COG3144	N
COG3190	N
COG3225	N
COG3334	N
COG3351	N
COG3352	N
COG3353	N
COG3354	N
COG3430	N
COG3539	N
COG3951	N
COG4786	N
COG4787	N
COG5442	N
COG5443	N
COG5581	N
COG5653	N
COG0630	N U
COG1157	N U
COG1317	N U
COG1516	N U
COG1766	N U
COG1886	N U
COG1989	N U
COG3418	N U
COG2805	N W
COG3063	N W
COG3166	N W
COG3167	N W
COG3168	N W
COG3170	N W
COG3188	N W
COG3215	N W
COG3419	N W
COG4726	N W
COG4966	N W
COG4967	N W
COG4968	N W
COG4969	N W
COG4970	N W
COG4972	N W
COG5008	N W
COG1459	N W U
COG2165	N W U
COG2804	N W U
COG0068	O
COG0071	O
COG0225	O
COG0229	O
COG0234	O
COG0265	O
COG0278	O
COG0298	O
COG0309	O
COG0316	O
COG0326	O
COG0330	O
COG0339	O
COG0354	O
COG0375	O
COG0378	O
COG0396	O
COG0397	O
COG0409	O
COG0443	O
COG0459	O
COG0465	O
COG0466	O
COG0484	O
COG0492	O
COG0501	O
COG0526	O
COG0542	O
COG0544	O
COG0545	O
COG0576	O
COG0606	O
COG0616	O
COG0625	O
COG0638	O
COG0641	O
COG0652	O
COG0678	O
COG0691	O
COG0694	O
COG0695	O
COG0705	O
COG0719	O
COG0740	O
COG0755	O
COG0760	O
COG0762	O
COG0793	O
COG0822	O
COG0829	O
COG0830	O
COG0846	O
COG1025	O
COG1026	O
COG1030	O
COG1047	O
COG1067	O
COG1076	O
COG1123	O
COG1180	O
COG1219	O
COG1220	O
COG1222	O
COG1225	O
COG1262	O
COG1266	O
COG1277	O
COG1281	O
COG1287	O
COG1305	O
COG1310	O
COG1382	O
COG1391	O
COG1397	O
COG1404	O
COG1433	O
COG1495	O
COG1572	O
COG1585	O
COG1651	O
COG1703	O
COG1730	O
COG1858	O
COG1928	O
COG1973	O
COG1975	O
COG1994	O
COG1999	O
COG2020	O
COG2039	O
COG2077	O
COG2127	O
COG2137	O
COG2143	O
COG2151	O
COG2166	O
COG2170	O
COG2317	O
COG2322	O
COG2360	O
COG2370	O
COG2371	O
COG2386	O
COG2518	O
COG2738	O
COG2761	O
COG2846	O
COG2856	O
COG2935	O
COG2938	O
COG2969	O
COG2975	O
COG2994	O
COG2999	O
COG3062	O
COG3118	O
COG3187	O
COG3197	O
COG3212	O
COG3227	O
COG3346	O
COG3381	O
COG3389	O
COG3484	O
COG3531	O
COG3555	O
COG3590	O
COG3591	O
COG3640	O
COG3672	O
COG3678	O
COG3785	O
COG3814	O
COG3823	O
COG3824	O
COG3869	O
COG3880	O
COG3897	O
COG3914	O
COG4133	O
COG4232	O
COG4260	O
COG4346	O
COG4412	O
COG4545	O
COG4574	O
COG4826	O
COG4837	O
COG4870	O
COG4875	O
COG4930	O
COG4934	O
COG4935	O
COG5078	O
COG5131	O
COG5160	O
COG5206	O
COG5265	O
COG5272	O
COG5282	O
COG5380	O
COG5387	O
COG5405	O
COG5494	O
COG5513	O
COG5533	O
COG5549	O
COG5550	O
COG5580	O
COG5640	O
COG5661	O
COG5664	O
COG0785	O C
COG1138	O C
COG1333	O C
COG2332	O C
COG2991	O C
COG3058	O C
COG3088	O C
COG3175	O C
COG3336	O C
COG4233	O C
COG4235	O C
COG4846	O C
COG4987	O C
COG4988	O C
COG5774	O C
COG5781	O C
COG2180	O C P
COG2234	O E
COG2355	O E
COG1477	O H
COG5029	O I
COG2924	O P
COG5646	O P
COG0003	P
COG0004	P
COG0025	P
COG0038	P
COG0053	P
COG0155	P
COG0168	P
COG0226	P
COG0288	P
COG0306	P
COG0310	P
COG0370	P
COG0376	P
COG0387	P
COG0390	P
COG0428	P
COG0474	P
COG0475	P
COG0529	P
COG0530	P
COG0555	P
COG0573	P
COG0581	P
COG0598	P
COG0600	P
COG0605	P
COG0607	P
COG0609	P
COG0614	P
COG0659	P
COG0670	P
COG0672	P
COG0704	P
COG0715	P
COG0725	P
COG0730	P
COG0735	P
COG0748	P
COG0753	P
COG0798	P
COG0803	P
COG0855	P
COG0861	P
COG1006	P
COG1055	P
COG1108	P
COG1116	P
COG1117	P
COG1118	P
COG1119	P
COG1121	P
COG1178	P
COG1218	P
COG1226	P
COG1230	P
COG1235	P
COG1276	P
COG1283	P
COG1285	P
COG1320	P
COG1324	P
COG1392	P
COG1393	P
COG1416	P
COG1464	P
COG1496	P
COG1513	P
COG1528	P
COG1553	P
COG1613	P
COG1629	P
COG1633	P
COG1652	P
COG1773	P
COG1814	P
COG1824	P
COG1863	P
COG1910	P
COG1914	P
COG1918	P
COG1930	P
COG1965	P
COG1971	P
COG2032	P
COG2046	P
COG2059	P
COG2060	P
COG2072	P
COG2111	P
COG2116	P
COG2128	P
COG2156	P
COG2193	P
COG2212	P
COG2215	P
COG2216	P
COG2217	P
COG2221	P
COG2223	P
COG2239	P
COG2346	P
COG2372	P
COG2375	P
COG2382	P
COG2403	P
COG2608	P
COG2807	P
COG2822	P
COG2837	P
COG2847	P
COG2895	P
COG2897	P
COG2899	P
COG2906	P
COG2967	P
COG2998	P
COG3025	P
COG3119	P
COG3142	P
COG3158	P
COG3174	P
COG3221	P
COG3230	P
COG3256	P
COG3258	P
COG3301	P
COG3303	P
COG3338	P
COG3350	P
COG3376	P
COG3420	P
COG3443	P
COG3454	P
COG3540	P
COG3546	P
COG3615	P
COG3624	P
COG3625	P
COG3626	P
COG3627	P
COG3638	P
COG3639	P
COG3667	P
COG3685	P
COG3696	P
COG3703	P
COG3720	P
COG3721	P
COG3746	P
COG3781	P
COG3793	P
COG3965	P
COG4097	P
COG4103	P
COG4107	P
COG4114	P
COG4117	P
COG4148	P
COG4149	P
COG4150	P
COG4208	P
COG4263	P
COG4264	P
COG4275	P
COG4300	P
COG4314	P
COG4362	P
COG4521	P
COG4525	P
COG4531	P
COG4535	P
COG4536	P
COG4548	P
COG4558	P
COG4559	P
COG4572	P
COG4592	P
COG4594	P
COG4604	P
COG4605	P
COG4606	P
COG4607	P
COG4615	P
COG4619	P
COG4651	P
COG4662	P
COG4693	P
COG4771	P
COG4772	P
COG4773	P
COG4774	P
COG4778	P
COG4779	P
COG4881	P
COG4985	P
COG4986	P
COG5386	P
COG5446	P
COG5455	P
COG5456	P
COG5478	P
COG5569	P
COG5612	P
COG2146	P Q
COG1122	P R
COG1785	P R
COG3700	P R
COG4100	P R
COG4638	P R
COG0123	Q
COG0179	Q
COG0346	Q
COG0412	Q
COG0424	Q
COG0656	Q
COG1020	Q
COG1021	Q
COG1228	Q
COG1233	Q
COG1535	Q
COG1568	Q
COG1647	Q
COG1942	Q
COG2015	Q
COG2050	Q
COG2162	Q
COG2175	Q
COG2312	Q
COG2318	Q
COG2366	Q
COG2368	Q
COG2514	Q
COG2931	Q
COG2977	Q
COG3127	Q
COG3135	Q
COG3207	Q
COG3208	Q
COG3251	Q
COG3315	Q
COG3319	Q
COG3320	Q
COG3321	Q
COG3384	Q
COG3396	Q
COG3424	Q
COG3435	Q
COG3458	Q
COG3460	Q
COG3473	Q
COG3479	Q
COG3485	Q
COG3486	Q
COG3491	Q
COG3508	Q
COG3527	Q
COG3648	Q
COG3653	Q
COG3670	Q
COG3733	Q
COG3795	Q
COG3805	Q
COG3885	Q
COG3917	Q
COG3960	Q
COG3971	Q
COG4172	Q
COG4174	Q
COG4181	Q
COG4239	Q
COG4308	Q
COG4365	Q
COG4457	Q
COG4458	Q
COG4542	Q
COG4569	Q
COG4647	Q
COG4663	Q
COG4664	Q
COG4665	Q
COG4689	Q
COG4829	Q
COG4869	Q
COG4909	Q
COG4910	Q
COG5285	Q
COG5310	Q
COG5517	Q
COG5554	Q
COG0500	Q R
COG2130	Q R
COG2350	Q R
COG4242	Q R
COG4915	Q R
COG0110	R
COG0121	R
COG0300	R
COG0312	R
COG0384	R
COG0385	R
COG0400	R
COG0429	R
COG0457	R
COG0488	R
COG0491	R
COG0523	R
COG0599	R
COG0612	R
COG0622	R
COG0628	R
COG0645	R
COG0663	R
COG0673	R
COG0679	R
COG0702	R
COG0714	R
COG0727	R
COG0733	R
COG0790	R
COG0857	R
COG1031	R
COG1032	R
COG1033	R
COG1040	R
COG1078	R
COG1084	R
COG1090	R
COG1098	R
COG1099	R
COG1100	R
COG1101	R
COG1106	R
COG1149	R
COG1223	R
COG1237	R
COG1242	R
COG1253	R
COG1255	R
COG1259	R
COG1288	R
COG1297	R
COG1306	R
COG1313	R
COG1326	R
COG1331	R
COG1334	R
COG1342	R
COG1355	R
COG1361	R
COG1365	R
COG1373	R
COG1379	R
COG1380	R
COG1407	R
COG1408	R
COG1411	R
COG1413	R
COG1432	R
COG1451	R
COG1453	R
COG1458	R
COG1461	R
COG1473	R
COG1483	R
COG1491	R
COG1532	R
COG1545	R
COG1563	R
COG1565	R
COG1569	R
COG1574	R
COG1579	R
COG1606	R
COG1610	R
COG1627	R
COG1628	R
COG1645	R
COG1656	R
COG1661	R
COG1665	R
COG1669	R
COG1672	R
COG1673	R
COG1689	R
COG1707	R
COG1708	R
COG1710	R
COG1719	R
COG1724	R
COG1735	R
COG1739	R
COG1741	R
COG1742	R
COG1750	R
COG1752	R
COG1765	R
COG1768	R
COG1779	R
COG1782	R
COG1784	R
COG1800	R
COG1801	R
COG1817	R
COG1831	R
COG1832	R
COG1833	R
COG1836	R
COG1837	R
COG1847	R
COG1852	R
COG1856	R
COG1873	R
COG1875	R
COG1881	R
COG1906	R
COG1913	R
COG1917	R
COG1926	R
COG1931	R
COG1938	R
COG1963	R
COG1978	R
COG1988	R
COG1991	R
COG1992	R
COG2000	R
COG2028	R
COG2044	R
COG2047	R
COG2061	R
COG2070	R
COG2078	R
COG2081	R
COG2085	R
COG2100	R
COG2106	R
COG2118	R
COG2119	R
COG2129	R
COG2144	R
COG2150	R
COG2153	R
COG2158	R
COG2164	R
COG2178	R
COG2179	R
COG2187	R
COG2192	R
COG2248	R
COG2249	R
COG2251	R
COG2261	R
COG2263	R
COG2270	R
COG2302	R
COG2304	R
COG2306	R
COG2308	R
COG2314	R
COG2316	R
COG2319	R
COG2320	R
COG2321	R
COG2331	R
COG2335	R
COG2353	R
COG2358	R
COG2373	R
COG2374	R
COG2380	R
COG2388	R
COG2391	R
COG2401	R
COG2402	R
COG2405	R
COG2409	R
COG2410	R
COG2411	R
COG2413	R
COG2433	R
COG2441	R
COG2445	R
COG2454	R
COG2461	R
COG2503	R
COG2509	R
COG2512	R
COG2516	R
COG2517	R
COG2521	R
COG2605	R
COG2607	R
COG2715	R
COG2718	R
COG2740	R
COG2819	R
COG2824	R
COG2880	R
COG2881	R
COG2886	R
COG2888	R
COG2907	R
COG2910	R
COG2936	R
COG2940	R
COG2945	R
COG2947	R
COG2954	R
COG2959	R
COG2962	R
COG2983	R
COG2984	R
COG2985	R
COG2992	R
COG2996	R
COG3011	R
COG3016	R
COG3021	R
COG3030	R
COG3042	R
COG3044	R
COG3046	R
COG3054	R
COG3091	R
COG3102	R
COG3103	R
COG3128	R
COG3146	R
COG3150	R
COG3153	R
COG3173	R
COG3176	R
COG3178	R
COG3180	R
COG3196	R
COG3204	R
COG3209	R
COG3211	R
COG3218	R
COG3223	R
COG3224	R
COG3233	R
COG3247	R
COG3269	R
COG3273	R
COG3294	R
COG3296	R
COG3313	R
COG3324	R
COG3331	R
COG3332	R
COG3333	R
COG3341	R
COG3342	R
COG3349	R
COG3359	R
COG3360	R
COG3364	R
COG3367	R
COG3368	R
COG3370	R
COG3372	R
COG3375	R
COG3379	R
COG3380	R
COG3382	R
COG3383	R
COG3391	R
COG3393	R
COG3397	R
COG3400	R
COG3401	R
COG3413	R
COG3442	R
COG3450	R
COG3453	R
COG3478	R
COG3488	R
COG3489	R
COG3526	R
COG3529	R
COG3541	R
COG3542	R
COG3545	R
COG3560	R
COG3565	R
COG3568	R
COG3571	R
COG3573	R
COG3576	R
COG3577	R
COG3580	R
COG3581	R
COG3586	R
COG3596	R
COG3607	R
COG3608	R
COG3618	R
COG3621	R
COG3631	R
COG3683	R
COG3687	R
COG3694	R
COG3729	R
COG3752	R
COG3760	R
COG3800	R
COG3809	R
COG3818	R
COG3828	R
COG3864	R
COG3865	R
COG3889	R
COG3899	R
COG3903	R
COG3907	R
COG3910	R
COG3911	R
COG3919	R
COG3926	R
COG3945	R
COG3950	R
COG3952	R
COG3956	R
COG3964	R
COG3969	R
COG3970	R
COG3975	R
COG3976	R
COG3981	R
COG4002	R
COG4007	R
COG4012	R
COG4015	R
COG4020	R
COG4025	R
COG4026	R
COG4028	R
COG4030	R
COG4043	R
COG4049	R
COG4052	R
COG4068	R
COG4070	R
COG4071	R
COG4076	R
COG4087	R
COG4099	R
COG4101	R
COG4112	R
COG4116	R
COG4120	R
COG4127	R
COG4128	R
COG4132	R
COG4134	R
COG4135	R
COG4136	R
COG4137	R
COG4146	R
COG4152	R
COG4158	R
COG4178	R
COG4185	R
COG4186	R
COG4188	R
COG4226	R
COG4240	R
COG4243	R
COG4248	R
COG4249	R
COG4254	R
COG4258	R
COG4261	R
COG4262	R
COG4271	R
COG4276	R
COG4277	R
COG4283	R
COG4285	R
COG4287	R
COG4295	R
COG4299	R
COG4301	R
COG4309	R
COG4310	R
COG4312	R
COG4319	R
COG4321	R
COG4324	R
COG4328	R
COG4339	R
COG4340	R
COG4341	R
COG4345	R
COG4353	R
COG4377	R
COG4405	R
COG4447	R
COG4449	R
COG4454	R
COG4455	R
COG4469	R
COG4492	R
COG4496	R
COG4529	R
COG4551	R
COG4552	R
COG4586	R
COG4587	R
COG4589	R
COG4590	R
COG4627	R
COG4633	R
COG4634	R
COG4636	R
COG4637	R
COG4639	R
COG4645	R
COG4655	R
COG4666	R
COG4671	R
COG4674	R
COG4710	R
COG4740	R
COG4745	R
COG4747	R
COG4754	R
COG4756	R
COG4757	R
COG4759	R
COG4764	R
COG4782	R
COG4784	R
COG4797	R
COG4798	R
COG4801	R
COG4804	R
COG4821	R
COG4825	R
COG4827	R
COG4848	R
COG4849	R
COG4851	R
COG4880	R
COG4882	R
COG4889	R
COG4892	R
COG4900	R
COG4902	R
COG4908	R
COG4914	R
COG4918	R
COG4922	R
COG4923	R
COG4927	R
COG4928	R
COG4938	R
COG4947	R
COG4956	R
COG4976	R
COG4980	R
COG4989	R
COG4990	R
COG4996	R
COG4997	R
COG5014	R
COG5015	R
COG5119	R
COG5207	R
COG5258	R
COG5266	R
COG5275	R
COG5298	R
COG5305	R
COG5306	R
COG5307	R
COG5322	R
COG5342	R
COG5350	R
COG5360	R
COG5378	R
COG5383	R
COG5426	R
COG5431	R
COG5439	R
COG5465	R
COG5476	R
COG5485	R
COG5492	R
COG5493	R
COG5495	R
COG5496	R
COG5504	R
COG5512	R
COG5516	R
COG5519	R
COG5526	R
COG5553	R
COG5571	R
COG5573	R
COG5592	R
COG5595	R
COG5610	R
COG5611	R
COG5617	R
COG5621	R
COG5628	R
COG5643	R
COG5663	R
COG5877	R
COG0393	S
COG0398	S
COG0700	S
COG0701	S
COG1238	S
COG1284	S
COG1289	S
COG1295	S
COG1302	S
COG1340	S
COG1357	S
COG1415	S
COG1417	S
COG1430	S
COG1470	S
COG1504	S
COG1507	S
COG1511	S
COG1512	S
COG1531	S
COG1542	S
COG1547	S
COG1550	S
COG1615	S
COG1649	S
COG1655	S
COG1667	S
COG1671	S
COG1683	S
COG1698	S
COG1714	S
COG1721	S
COG1728	S
COG1745	S
COG1747	S
COG1754	S
COG1755	S
COG1771	S
COG1772	S
COG1790	S
COG1808	S
COG1810	S
COG1811	S
COG1844	S
COG1849	S
COG1851	S
COG1872	S
COG1885	S
COG1888	S
COG1915	S
COG1916	S
COG1935	S
COG1950	S
COG1967	S
COG2006	S
COG2014	S
COG2029	S
COG2034	S
COG2035	S
COG2043	S
COG2083	S
COG2090	S
COG2108	S
COG2121	S
COG2122	S
COG2149	S
COG2155	S
COG2237	S
COG2245	S
COG2259	S
COG2268	S
COG2307	S
COG2311	S
COG2323	S
COG2324	S
COG2343	S
COG2359	S
COG2363	S
COG2364	S
COG2383	S
COG2389	S
COG2412	S
COG2425	S
COG2426	S
COG2427	S
COG2430	S
COG2456	S
COG2457	S
COG2604	S
COG2707	S
COG2733	S
COG2768	S
COG2802	S
COG2830	S
COG2832	S
COG2833	S
COG2836	S
COG2839	S
COG2841	S
COG2855	S
COG2860	S
COG2862	S
COG2868	S
COG2879	S
COG2900	S
COG2922	S
COG2926	S
COG2928	S
COG2952	S
COG2958	S
COG2966	S
COG2968	S
COG2979	S
COG2990	S
COG3012	S
COG3013	S
COG3014	S
COG3019	S
COG3056	S
COG3068	S
COG3071	S
COG3079	S
COG3082	S
COG3084	S
COG3085	S
COG3089	S
COG3092	S
COG3094	S
COG3097	S
COG3098	S
COG3099	S
COG3100	S
COG3108	S
COG3110	S
COG3111	S
COG3112	S
COG3122	S
COG3126	S
COG3132	S
COG3134	S
COG3136	S
COG3139	S
COG3140	S
COG3151	S
COG3152	S
COG3159	S
COG3162	S
COG3169	S
COG3171	S
COG3182	S
COG3184	S
COG3189	S
COG3198	S
COG3205	S
COG3216	S
COG3219	S
COG3220	S
COG3222	S
COG3234	S
COG3235	S
COG3237	S
COG3238	S
COG3242	S
COG3246	S
COG3249	S
COG3268	S
COG3272	S
COG3286	S
COG3291	S
COG3295	S
COG3304	S
COG3305	S
COG3308	S
COG3310	S
COG3318	S
COG3323	S
COG3326	S
COG3330	S
COG3339	S
COG3358	S
COG3361	S
COG3365	S
COG3366	S
COG3369	S
COG3371	S
COG3374	S
COG3377	S
COG3399	S
COG3402	S
COG3403	S
COG3410	S
COG3416	S
COG3422	S
COG3428	S
COG3431	S
COG3439	S
COG3461	S
COG3462	S
COG3463	S
COG3465	S
COG3471	S
COG3472	S
COG3477	S
COG3482	S
COG3487	S
COG3490	S
COG3492	S
COG3494	S
COG3495	S
COG3496	S
COG3502	S
COG3503	S
COG3506	S
COG3528	S
COG3530	S
COG3535	S
COG3536	S
COG3538	S
COG3543	S
COG3544	S
COG3548	S
COG3551	S
COG3552	S
COG3553	S
COG3554	S
COG3556	S
COG3557	S
COG3558	S
COG3564	S
COG3566	S
COG3567	S
COG3575	S
COG3583	S
COG3584	S
COG3589	S
COG3592	S
COG3595	S
COG3597	S
COG3610	S
COG3612	S
COG3619	S
COG3644	S
COG3647	S
COG3650	S
COG3651	S
COG3652	S
COG3656	S
COG3662	S
COG3665	S
COG3671	S
COG3673	S
COG3680	S
COG3686	S
COG3689	S
COG3691	S
COG3692	S
COG3698	S
COG3714	S
COG3726	S
COG3735	S
COG3737	S
COG3738	S
COG3739	S
COG3748	S
COG3749	S
COG3750	S
COG3753	S
COG3755	S
COG3756	S
COG3758	S
COG3759	S
COG3762	S
COG3763	S
COG3766	S
COG3767	S
COG3768	S
COG3776	S
COG3779	S
COG3782	S
COG3784	S
COG3787	S
COG3788	S
COG3789	S
COG3790	S
COG3791	S
COG3792	S
COG3797	S
COG3798	S
COG3801	S
COG3802	S
COG3803	S
COG3804	S
COG3807	S
COG3811	S
COG3812	S
COG3813	S
COG3815	S
COG3816	S
COG3817	S
COG3819	S
COG3821	S
COG3825	S
COG3826	S
COG3837	S
COG3856	S
COG3860	S
COG3861	S
COG3862	S
COG3863	S
COG3871	S
COG3872	S
COG3874	S
COG3878	S
COG3879	S
COG3881	S
COG3883	S
COG3894	S
COG3898	S
COG3900	S
COG3904	S
COG3906	S
COG3908	S
COG3915	S
COG3918	S
COG3921	S
COG3924	S
COG3930	S
COG3943	S
COG3949	S
COG4001	S
COG4003	S
COG4004	S
COG4009	S
COG4010	S
COG4013	S
COG4014	S
COG4022	S
COG4024	S
COG4029	S
COG4031	S
COG4033	S
COG4034	S
COG4044	S
COG4046	S
COG4048	S
COG4050	S
COG4051	S
COG4053	S
COG4065	S
COG4066	S
COG4067	S
COG4069	S
COG4072	S
COG4073	S
COG4075	S
COG4077	S
